subset,folder,file,cls,onset,offset
train,train,train_32750.wav,32.0,0.004875,9.998625
train,train,train_32751.wav,5.0,0.0045,9.99825
train,train,train_32752.wav,38.0,0.006,9.99975
train,train,train_32753.wav,5.0,1.951,6.851
train,train,train_32754.wav,16.0,7.0409375,7.7809375
train,train,train_32755.wav,15.0,2.4968125,3.2968125
train,train,train_32756.wav,29.0,8.683125,9.583125
train,train,train_32757.wav,4.0,0.124875,3.724875
train,train,train_32758.wav,34.0,0.0015,9.99525
train,train,train_32759.wav,20.0,2.033,3.713
train,train,train_32760.wav,20.0,3.74575,5.92575
train,train,train_32761.wav,7.0,0.003,9.99675
train,train,train_32762.wav,38.0,6.627,7.247
train,train,train_32763.wav,20.0,1.9781875,7.3781875
train,train,train_32764.wav,30.0,0.0003125,9.9940625
train,train,train_32765.wav,11.0,1.940375,2.740375
train,train,train_32766.wav,18.0,0.313375,9.133375
train,train,train_32767.wav,4.0,2.1608125,2.6608125
train,train,train_32768.wav,2.0,0.00475,9.9985
train,train,train_32769.wav,11.0,6.1923125,6.5923125
train,train,train_32770.wav,4.0,7.618625,9.018625
train,train,train_32771.wav,20.0,0.0035,9.99725
train,train,train_32772.wav,24.0,7.3141875,8.8141875
train,train,train_32773.wav,17.0,1.2511875,6.4511875
train,train,train_32774.wav,25.0,8.516625,9.876625
train,train,train_32775.wav,40.0,5.6309375,7.9709375
train,train,train_32776.wav,26.0,2.061625,9.081625
train,train,train_32777.wav,1.0,5.1355625,8.9755625
train,train,train_32778.wav,34.0,5.5195625,7.6995625
train,train,train_32779.wav,33.0,4.856,5.356
train,train,train_32780.wav,15.0,3.2495,6.8295
train,train,train_32781.wav,35.0,5.4085,8.1485
train,train,train_32782.wav,3.0,2.9783125,3.4383125
train,train,train_32783.wav,18.0,1.670625,7.510625
train,train,train_32784.wav,30.0,0.411625,5.411625
train,train,train_32785.wav,14.0,2.7744375,4.7744375
train,train,train_32786.wav,36.0,1.0161875,9.8161875
train,train,train_32787.wav,23.0,1.579125,2.179125
train,train,train_32788.wav,39.0,6.7565,9.4365
train,train,train_32789.wav,34.0,0.0029375,9.9966875
train,train,train_32790.wav,6.0,3.296875,6.276875
train,train,train_32791.wav,3.0,2.1588125,2.4988125
train,train,train_32792.wav,25.0,2.0731875,4.7531875
train,train,train_32793.wav,23.0,5.162,5.922
train,train,train_32794.wav,10.0,4.0985,5.2585
train,train,train_32795.wav,32.0,1.033625,3.833625
train,train,train_32796.wav,16.0,6.7123125,7.1123125
train,train,train_32797.wav,39.0,0.002875,9.996625
train,train,train_32798.wav,40.0,0.0016875,9.9954375
train,train,train_32799.wav,23.0,0.0054375,9.9991875
train,train,train_32800.wav,29.0,1.306625,4.386625
train,train,train_32801.wav,17.0,2.7525,4.8525
train,train,train_32802.wav,33.0,3.335875,3.975875
train,train,train_32803.wav,12.0,0.144875,2.984875
train,train,train_32804.wav,22.0,0.003,9.99675
train,train,train_32805.wav,29.0,4.309625,8.629625
train,train,train_32806.wav,37.0,5.2058125,6.2058125
train,train,train_32807.wav,17.0,3.7048125,7.1048125
train,train,train_32808.wav,29.0,4.7808125,7.3408125
train,train,train_32809.wav,39.0,3.781,8.301
train,train,train_32810.wav,38.0,0.2385,2.9985
train,train,train_32811.wav,16.0,4.72575,5.06575
train,train,train_32812.wav,23.0,1.3949375,1.9549375
train,train,train_32813.wav,38.0,1.427375,9.587375
train,train,train_32814.wav,14.0,0.4785625,4.4785625
train,train,train_32815.wav,8.0,3.48225,9.48225
train,train,train_32816.wav,12.0,2.6400625,4.4400625
train,train,train_32817.wav,37.0,0.0028125,9.9965625
train,train,train_32818.wav,8.0,2.82125,8.88125
train,train,train_32819.wav,33.0,0.0023125,9.9960625
train,train,train_32820.wav,38.0,6.03525,8.15525
train,train,train_32821.wav,39.0,0.23075,4.73075
train,train,train_32822.wav,32.0,1.50725,6.40725
train,train,train_32823.wav,18.0,0.770875,9.570875
train,train,train_32824.wav,12.0,0.024875,0.824875
train,train,train_32825.wav,27.0,0.7420625,8.8820625
train,train,train_32826.wav,15.0,5.25125,8.15125
train,train,train_32827.wav,28.0,1.8166875,8.2366875
train,train,train_32828.wav,10.0,4.7283125,8.7283125
train,train,train_32829.wav,28.0,0.0045625,9.9983125
train,train,train_32830.wav,10.0,9.039625,9.739625
train,train,train_32831.wav,3.0,7.31325,7.77325
train,train,train_32832.wav,23.0,6.716,7.736
train,train,train_32833.wav,33.0,3.172875,3.672875
train,train,train_32834.wav,17.0,0.0013125,9.9950625
train,train,train_32835.wav,5.0,2.9130625,6.6530625
train,train,train_32836.wav,7.0,4.3171875,9.9171875
train,train,train_32837.wav,39.0,0.004,9.99775
train,train,train_32838.wav,11.0,1.3909375,2.1909375
train,train,train_32839.wav,30.0,0.0018125,9.9955625
train,train,train_32840.wav,8.0,1.7864375,7.7864375
train,train,train_32841.wav,37.0,0.0019375,9.9956875
train,train,train_32842.wav,15.0,4.583875,6.023875
train,train,train_32843.wav,30.0,3.9014375,8.2414375
train,train,train_32844.wav,23.0,2.78375,3.14375
train,train,train_32845.wav,12.0,5.735875,7.835875
train,train,train_32846.wav,8.0,0.02375,5.52375
train,train,train_32847.wav,17.0,0.0056875,9.9994375
train,train,train_32848.wav,23.0,0.763625,4.943625
train,train,train_32849.wav,17.0,1.998,6.638
train,train,train_32850.wav,34.0,5.3564375,6.3164375
train,train,train_32851.wav,20.0,0.006125,9.999875
train,train,train_32852.wav,1.0,0.001125,9.994875
train,train,train_32853.wav,0.0,0.0018125,9.9955625
train,train,train_32854.wav,23.0,8.2235,8.6435
train,train,train_32855.wav,16.0,8.302375,8.642375
train,train,train_32856.wav,6.0,3.9203125,6.0803125
train,train,train_32857.wav,29.0,6.1070625,8.5470625
train,train,train_32858.wav,31.0,0.0,9.99375
